SA3_name,Latitude,Longitude
Cotter - Namadgi,-35.215386,149.029308
Cotter - Namadgi,-35.215386,149.029308
Cotter - Namadgi,-35.215386,149.029308
Cotter - Namadgi,-35.215386,149.029308
Cotter - Namadgi,-35.215386,149.029308
Cotter - Namadgi,-35.215386,149.029308
Gungahlin,-35.135588,149.043278
Gungahlin,-35.135588,149.043278
Gungahlin,-35.135588,149.043278
Gungahlin,-35.135588,149.043278
Gungahlin,-35.135588,149.043278
Gungahlin,-35.135588,149.043278
North Canberra,-35.248071,149.148147
North Canberra,-35.248071,149.148147
North Canberra,-35.248071,149.148147
North Canberra,-35.248071,149.148147
North Canberra,-35.248071,149.148147
North Canberra,-35.248071,149.148147
South Canberra,-35.275863,149.113796
South Canberra,-35.275863,149.113796
South Canberra,-35.275863,149.113796
South Canberra,-35.275863,149.113796
South Canberra,-35.275863,149.113796
South Canberra,-35.275863,149.113796
Tuggeranong,-35.34172619,149.2104515
Tuggeranong,-35.34172619,149.2104515
Tuggeranong,-35.34172619,149.2104515
Tuggeranong,-35.34172619,149.2104515
Tuggeranong,-35.34172619,149.2104515
Tuggeranong,-35.34172619,149.2104515
Weston Creek,-35.57315758,148.7089956
Weston Creek,-35.57315758,148.7089956
Weston Creek,-35.57315758,148.7089956
Weston Creek,-35.57315758,148.7089956
Weston Creek,-35.57315758,148.7089956
Weston Creek,-35.57315758,148.7089956
Woden,-35.302911,149.201072
Woden,-35.302911,149.201072
Woden,-35.302911,149.201072
Woden,-35.302911,149.201072
Woden,-35.302911,149.201072
Woden,-35.302911,149.201072
Darwin City,-12.458684,130.83668
Darwin City,-12.458684,130.83668
Darwin City,-12.458684,130.83668
Darwin City,-12.458684,130.83668
Darwin City,-12.458684,130.83668
Darwin City,-12.458684,130.83668
Darwin Suburbs,-12.428017,130.873315
Darwin Suburbs,-12.428017,130.873315
Darwin Suburbs,-12.428017,130.873315
Darwin Suburbs,-12.428017,130.873315
Darwin Suburbs,-12.428017,130.873315
Darwin Suburbs,-12.428017,130.873315
Litchfield,-12.54686461,131.0234875
Litchfield,-12.54686461,131.0234875
Litchfield,-12.54686461,131.0234875
Litchfield,-12.54686461,131.0234875
Litchfield,-12.54686461,131.0234875
Litchfield,-12.54686461,131.0234875
Palmerston,-12.45763297,130.9597671
Palmerston,-12.45763297,130.9597671
Palmerston,-12.45763297,130.9597671
Palmerston,-12.45763297,130.9597671
Palmerston,-12.45763297,130.9597671
Palmerston,-12.45763297,130.9597671
Alice Springs,-23.702291,133.86314
Alice Springs,-23.702291,133.86314
Alice Springs,-23.702291,133.86314
Alice Springs,-23.702291,133.86314
Alice Springs,-23.702291,133.86314
Alice Springs,-23.702291,133.86314
Barkly,-19.641301,134.173599
Barkly,-19.641301,134.173599
Barkly,-19.641301,134.173599
Barkly,-19.641301,134.173599
Barkly,-19.641301,134.173599
Barkly,-19.641301,134.173599
Daly - Tiwi - West Arnhem,-12.72451307,130.3529386
Daly - Tiwi - West Arnhem,-12.72451307,130.3529386
Daly - Tiwi - West Arnhem,-12.72451307,130.3529386
Daly - Tiwi - West Arnhem,-12.72451307,130.3529386
Daly - Tiwi - West Arnhem,-12.72451307,130.3529386
Daly - Tiwi - West Arnhem,-12.72451307,130.3529386
East Arnhem,-12.50557433,135.7954286
East Arnhem,-12.50557433,135.7954286
East Arnhem,-12.50557433,135.7954286
East Arnhem,-12.50557433,135.7954286
East Arnhem,-12.50557433,135.7954286
East Arnhem,-12.50557433,135.7954286
Katherine,-12.43399126,130.7459083
Katherine,-12.43399126,130.7459083
Katherine,-12.43399126,130.7459083
Katherine,-12.43399126,130.7459083
Katherine,-12.43399126,130.7459083
Katherine,-12.43399126,130.7459083
Queanbeyan,-34.764484,149.286631
Queanbeyan,-34.764484,149.286631
Queanbeyan,-34.764484,149.286631
Queanbeyan,-34.764484,149.286631
Queanbeyan,-34.764484,149.286631
Queanbeyan,-34.764484,149.286631
Snowy Mountains,-36.50661,148.301005
Snowy Mountains,-36.50661,148.301005
Snowy Mountains,-36.50661,148.301005
Snowy Mountains,-36.50661,148.301005
Snowy Mountains,-36.50661,148.301005
Snowy Mountains,-36.50661,148.301005
South Coast,-35.939649,149.912199
South Coast,-35.939649,149.912199
South Coast,-35.939649,149.912199
South Coast,-35.939649,149.912199
South Coast,-35.939649,149.912199
South Coast,-35.939649,149.912199
Gosford,-33.482209,151.401999
Gosford,-33.482209,151.401999
Gosford,-33.482209,151.401999
Gosford,-33.482209,151.401999
Gosford,-33.482209,151.401999
Gosford,-33.482209,151.401999
Wyong,-33.333187,151.3433
Wyong,-33.333187,151.3433
Wyong,-33.333187,151.3433
Wyong,-33.333187,151.3433
Wyong,-33.333187,151.3433
Wyong,-33.333187,151.3433
Bathurst,-34.196526,149.254163
Bathurst,-34.196526,149.254163
Bathurst,-34.196526,149.254163
Bathurst,-34.196526,149.254163
Bathurst,-34.196526,149.254163
Bathurst,-34.196526,149.254163
Lachlan Valley,-33.839275,147.308172
Lachlan Valley,-33.839275,147.308172
Lachlan Valley,-33.839275,147.308172
Lachlan Valley,-33.839275,147.308172
Lachlan Valley,-33.839275,147.308172
Lachlan Valley,-33.839275,147.308172
Lithgow - Mudgee,-31.924969,149.319295
Lithgow - Mudgee,-31.924969,149.319295
Lithgow - Mudgee,-31.924969,149.319295
Lithgow - Mudgee,-31.924969,149.319295
Lithgow - Mudgee,-31.924969,149.319295
Lithgow - Mudgee,-31.924969,149.319295
Orange,-33.634941,149.164475
Orange,-33.634941,149.164475
Orange,-33.634941,149.164475
Orange,-33.634941,149.164475
Orange,-33.634941,149.164475
Orange,-33.634941,149.164475
Clarence Valley,-29.829194,153.187047
Clarence Valley,-29.829194,153.187047
Clarence Valley,-29.829194,153.187047
Clarence Valley,-29.829194,153.187047
Clarence Valley,-29.829194,153.187047
Clarence Valley,-29.829194,153.187047
Coffs Harbour,-30.097726,152.658268
Coffs Harbour,-30.097726,152.658268
Coffs Harbour,-30.097726,152.658268
Coffs Harbour,-30.097726,152.658268
Coffs Harbour,-30.097726,152.658268
Coffs Harbour,-30.097726,152.658268
Bourke - Cobar - Coonamble,-33.24358,146.40002
Bourke - Cobar - Coonamble,-33.24358,146.40002
Bourke - Cobar - Coonamble,-33.24358,146.40002
Bourke - Cobar - Coonamble,-33.24358,146.40002
Bourke - Cobar - Coonamble,-33.24358,146.40002
Bourke - Cobar - Coonamble,-33.24358,146.40002
Broken Hill and Far West,-31.498123,143.270562
Broken Hill and Far West,-31.498123,143.270562
Broken Hill and Far West,-31.498123,143.270562
Broken Hill and Far West,-31.498123,143.270562
Broken Hill and Far West,-31.498123,143.270562
Broken Hill and Far West,-31.498123,143.270562
Dubbo,-31.51588428,149.781025
Dubbo,-31.51588428,149.781025
Dubbo,-31.51588428,149.781025
Dubbo,-31.51588428,149.781025
Dubbo,-31.51588428,149.781025
Dubbo,-31.51588428,149.781025
Lower Hunter,-32.3438,151.522527
Lower Hunter,-32.3438,151.522527
Lower Hunter,-32.3438,151.522527
Lower Hunter,-32.3438,151.522527
Lower Hunter,-32.3438,151.522527
Lower Hunter,-32.3438,151.522527
Maitland,-32.785207,151.453148
Maitland,-32.785207,151.453148
Maitland,-32.785207,151.453148
Maitland,-32.785207,151.453148
Maitland,-32.785207,151.453148
Maitland,-32.785207,151.453148
Port Stephens,-32.797453,151.840094
Port Stephens,-32.797453,151.840094
Port Stephens,-32.797453,151.840094
Port Stephens,-32.797453,151.840094
Port Stephens,-32.797453,151.840094
Port Stephens,-32.797453,151.840094
Upper Hunter,-32.57693,150.564817
Upper Hunter,-32.57693,150.564817
Upper Hunter,-32.57693,150.564817
Upper Hunter,-32.57693,150.564817
Upper Hunter,-32.57693,150.564817
Upper Hunter,-32.57693,150.564817
Dapto - Port Kembla,-34.494723,150.873081
Dapto - Port Kembla,-34.494723,150.873081
Dapto - Port Kembla,-34.494723,150.873081
Dapto - Port Kembla,-34.494723,150.873081
Dapto - Port Kembla,-34.494723,150.873081
Dapto - Port Kembla,-34.494723,150.873081
Kiama - Shellharbour,-34.548722,150.855135
Kiama - Shellharbour,-34.548722,150.855135
Kiama - Shellharbour,-34.548722,150.855135
Kiama - Shellharbour,-34.548722,150.855135
Kiama - Shellharbour,-34.548722,150.855135
Kiama - Shellharbour,-34.548722,150.855135
Wollongong,-34.423171,150.874294
Wollongong,-34.423171,150.874294
Wollongong,-34.423171,150.874294
Wollongong,-34.423171,150.874294
Wollongong,-34.423171,150.874294
Wollongong,-34.423171,150.874294
Great Lakes,-32.623108,152.332617
Great Lakes,-32.623108,152.332617
Great Lakes,-32.623108,152.332617
Great Lakes,-32.623108,152.332617
Great Lakes,-32.623108,152.332617
Great Lakes,-32.623108,152.332617
Kempsey - Nambucca,-30.925233,153.053789
Kempsey - Nambucca,-30.925233,153.053789
Kempsey - Nambucca,-30.925233,153.053789
Kempsey - Nambucca,-30.925233,153.053789
Kempsey - Nambucca,-30.925233,153.053789
Kempsey - Nambucca,-30.925233,153.053789
Lord Howe Island,-31.55247,159.081217
Lord Howe Island,-31.55247,159.081217
Lord Howe Island,-31.55247,159.081217
Lord Howe Island,-31.55247,159.081217
Lord Howe Island,-31.55247,159.081217
Lord Howe Island,-31.55247,159.081217
Port Macquarie,-31.654722,152.652155
Port Macquarie,-31.654722,152.652155
Port Macquarie,-31.654722,152.652155
Port Macquarie,-31.654722,152.652155
Port Macquarie,-31.654722,152.652155
Port Macquarie,-31.654722,152.652155
Taree - Gloucester,-32.16165072,152.3722113
Taree - Gloucester,-32.16165072,152.3722113
Taree - Gloucester,-32.16165072,152.3722113
Taree - Gloucester,-32.16165072,152.3722113
Taree - Gloucester,-32.16165072,152.3722113
Taree - Gloucester,-32.16165072,152.3722113
Albury,-36.038655,146.930436
Albury,-36.038655,146.930436
Albury,-36.038655,146.930436
Albury,-36.038655,146.930436
Albury,-36.038655,146.930436
Albury,-36.038655,146.930436
Lower Murray,-33.29624634,141.8018461
Lower Murray,-33.29624634,141.8018461
Lower Murray,-33.29624634,141.8018461
Lower Murray,-33.29624634,141.8018461
Lower Murray,-33.29624634,141.8018461
Lower Murray,-33.29624634,141.8018461
Upper Murray exc. Albury,-35.936556,146.617535
Upper Murray exc. Albury,-35.936556,146.617535
Upper Murray exc. Albury,-35.936556,146.617535
Upper Murray exc. Albury,-35.936556,146.617535
Upper Murray exc. Albury,-35.936556,146.617535
Upper Murray exc. Albury,-35.936556,146.617535
Armidale,-30.493397,151.906153
Armidale,-30.493397,151.906153
Armidale,-30.493397,151.906153
Armidale,-30.493397,151.906153
Armidale,-30.493397,151.906153
Armidale,-30.493397,151.906153
Inverell - Tenterfield,-30.115913,151.673028
Inverell - Tenterfield,-30.115913,151.673028
Inverell - Tenterfield,-30.115913,151.673028
Inverell - Tenterfield,-30.115913,151.673028
Inverell - Tenterfield,-30.115913,151.673028
Inverell - Tenterfield,-30.115913,151.673028
Moree - Narrabri,-30.619798,148.96949
Moree - Narrabri,-30.619798,148.96949
Moree - Narrabri,-30.619798,148.96949
Moree - Narrabri,-30.619798,148.96949
Moree - Narrabri,-30.619798,148.96949
Moree - Narrabri,-30.619798,148.96949
Tamworth - Gunnedah,-31.735174,151.029159
Tamworth - Gunnedah,-31.735174,151.029159
Tamworth - Gunnedah,-31.735174,151.029159
Tamworth - Gunnedah,-31.735174,151.029159
Tamworth - Gunnedah,-31.735174,151.029159
Tamworth - Gunnedah,-31.735174,151.029159
Lake Macquarie - East,-33.019715,151.663175
Lake Macquarie - East,-33.019715,151.663175
Lake Macquarie - East,-33.019715,151.663175
Lake Macquarie - East,-33.019715,151.663175
Lake Macquarie - East,-33.019715,151.663175
Lake Macquarie - East,-33.019715,151.663175
Lake Macquarie - West,-33.208801,151.377213
Lake Macquarie - West,-33.208801,151.377213
Lake Macquarie - West,-33.208801,151.377213
Lake Macquarie - West,-33.208801,151.377213
Lake Macquarie - West,-33.208801,151.377213
Lake Macquarie - West,-33.208801,151.377213
Newcastle,-32.933305,151.651095
Newcastle,-32.933305,151.651095
Newcastle,-32.933305,151.651095
Newcastle,-32.933305,151.651095
Newcastle,-32.933305,151.651095
Newcastle,-32.933305,151.651095
Richmond Valley - Coastal,-29.2343298,153.3210837
Richmond Valley - Coastal,-29.2343298,153.3210837
Richmond Valley - Coastal,-29.2343298,153.3210837
Richmond Valley - Coastal,-29.2343298,153.3210837
Richmond Valley - Coastal,-29.2343298,153.3210837
Richmond Valley - Coastal,-29.2343298,153.3210837
Richmond Valley - Hinterland,-29.05366265,152.5892786
Richmond Valley - Hinterland,-29.05366265,152.5892786
Richmond Valley - Hinterland,-29.05366265,152.5892786
Richmond Valley - Hinterland,-29.05366265,152.5892786
Richmond Valley - Hinterland,-29.05366265,152.5892786
Richmond Valley - Hinterland,-29.05366265,152.5892786
Tweed Valley,-28.499375,152.88504
Tweed Valley,-28.499375,152.88504
Tweed Valley,-28.499375,152.88504
Tweed Valley,-28.499375,152.88504
Tweed Valley,-28.499375,152.88504
Tweed Valley,-28.499375,152.88504
Griffith - Murrumbidgee (West),-33.814887,146.667476
Griffith - Murrumbidgee (West),-33.814887,146.667476
Griffith - Murrumbidgee (West),-33.814887,146.667476
Griffith - Murrumbidgee (West),-33.814887,146.667476
Griffith - Murrumbidgee (West),-33.814887,146.667476
Griffith - Murrumbidgee (West),-33.814887,146.667476
Tumut - Tumbarumba,-34.75833012,148.9655031
Tumut - Tumbarumba,-34.75833012,148.9655031
Tumut - Tumbarumba,-34.75833012,148.9655031
Tumut - Tumbarumba,-34.75833012,148.9655031
Tumut - Tumbarumba,-34.75833012,148.9655031
Tumut - Tumbarumba,-34.75833012,148.9655031
Wagga Wagga,-34.599488,148.255601
Wagga Wagga,-34.599488,148.255601
Wagga Wagga,-34.599488,148.255601
Wagga Wagga,-34.599488,148.255601
Wagga Wagga,-34.599488,148.255601
Wagga Wagga,-34.599488,148.255601
Shoalhaven,-34.1336,151.1041
Shoalhaven,-34.1336,151.1041
Shoalhaven,-34.1336,151.1041
Shoalhaven,-34.1336,151.1041
Shoalhaven,-34.1336,151.1041
Shoalhaven,-34.1336,151.1041
Southern Highlands,-34.583539,150.754592
Southern Highlands,-34.583539,150.754592
Southern Highlands,-34.583539,150.754592
Southern Highlands,-34.583539,150.754592
Southern Highlands,-34.583539,150.754592
Southern Highlands,-34.583539,150.754592
Baulkham Hills,-33.735906,151.030535
Baulkham Hills,-33.735906,151.030535
Baulkham Hills,-33.735906,151.030535
Baulkham Hills,-33.735906,151.030535
Baulkham Hills,-33.735906,151.030535
Baulkham Hills,-33.735906,151.030535
Dural - Wisemans Ferry,-33.656984,150.974528
Dural - Wisemans Ferry,-33.656984,150.974528
Dural - Wisemans Ferry,-33.656984,150.974528
Dural - Wisemans Ferry,-33.656984,150.974528
Dural - Wisemans Ferry,-33.656984,150.974528
Dural - Wisemans Ferry,-33.656984,150.974528
Hawkesbury,-33.325373,151.189243
Hawkesbury,-33.325373,151.189243
Hawkesbury,-33.325373,151.189243
Hawkesbury,-33.325373,151.189243
Hawkesbury,-33.325373,151.189243
Hawkesbury,-33.325373,151.189243
Blacktown,-33.760263,150.966912
Blacktown,-33.760263,150.966912
Blacktown,-33.760263,150.966912
Blacktown,-33.760263,150.966912
Blacktown,-33.760263,150.966912
Blacktown,-33.760263,150.966912
Blacktown - North,-33.731523,150.931074
Blacktown - North,-33.731523,150.931074
Blacktown - North,-33.731523,150.931074
Blacktown - North,-33.731523,150.931074
Blacktown - North,-33.731523,150.931074
Blacktown - North,-33.731523,150.931074
Mount Druitt,-33.742006,150.84746
Mount Druitt,-33.742006,150.84746
Mount Druitt,-33.742006,150.84746
Mount Druitt,-33.742006,150.84746
Mount Druitt,-33.742006,150.84746
Mount Druitt,-33.742006,150.84746
Botany,-33.947087,151.197644
Botany,-33.947087,151.197644
Botany,-33.947087,151.197644
Botany,-33.947087,151.197644
Botany,-33.947087,151.197644
Botany,-33.947087,151.197644
Marrickville - Sydenham - Petersham,-33.926669,151.210791
Marrickville - Sydenham - Petersham,-33.926669,151.210791
Marrickville - Sydenham - Petersham,-33.926669,151.210791
Marrickville - Sydenham - Petersham,-33.926669,151.210791
Marrickville - Sydenham - Petersham,-33.926669,151.210791
Marrickville - Sydenham - Petersham,-33.926669,151.210791
Sydney Inner City,-33.794883,151.268071
Sydney Inner City,-33.794883,151.268071
Sydney Inner City,-33.794883,151.268071
Sydney Inner City,-33.794883,151.268071
Sydney Inner City,-33.794883,151.268071
Sydney Inner City,-33.794883,151.268071
Eastern Suburbs - North,-33.88871,151.240508
Eastern Suburbs - North,-33.88871,151.240508
Eastern Suburbs - North,-33.88871,151.240508
Eastern Suburbs - North,-33.88871,151.240508
Eastern Suburbs - North,-33.88871,151.240508
Eastern Suburbs - North,-33.88871,151.240508
Eastern Suburbs - South,-33.888549,151.140735
Eastern Suburbs - South,-33.888549,151.140735
Eastern Suburbs - South,-33.888549,151.140735
Eastern Suburbs - South,-33.888549,151.140735
Eastern Suburbs - South,-33.888549,151.140735
Eastern Suburbs - South,-33.888549,151.140735
Bankstown,-33.908788,150.986277
Bankstown,-33.908788,150.986277
Bankstown,-33.908788,150.986277
Bankstown,-33.908788,150.986277
Bankstown,-33.908788,150.986277
Bankstown,-33.908788,150.986277
Canterbury,-33.907417,151.024581
Canterbury,-33.907417,151.024581
Canterbury,-33.907417,151.024581
Canterbury,-33.907417,151.024581
Canterbury,-33.907417,151.024581
Canterbury,-33.907417,151.024581
Hurstville,-33.94913,151.075304
Hurstville,-33.94913,151.075304
Hurstville,-33.94913,151.075304
Hurstville,-33.94913,151.075304
Hurstville,-33.94913,151.075304
Hurstville,-33.94913,151.075304
Kogarah - Rockdale,-33.935923,151.100027
Kogarah - Rockdale,-33.935923,151.100027
Kogarah - Rockdale,-33.935923,151.100027
Kogarah - Rockdale,-33.935923,151.100027
Kogarah - Rockdale,-33.935923,151.100027
Kogarah - Rockdale,-33.935923,151.100027
Canada Bay,-33.842999,151.151958
Canada Bay,-33.842999,151.151958
Canada Bay,-33.842999,151.151958
Canada Bay,-33.842999,151.151958
Canada Bay,-33.842999,151.151958
Canada Bay,-33.842999,151.151958
Leichhardt,-33.881624,151.170165
Leichhardt,-33.881624,151.170165
Leichhardt,-33.881624,151.170165
Leichhardt,-33.881624,151.170165
Leichhardt,-33.881624,151.170165
Leichhardt,-33.881624,151.170165
Strathfield - Burwood - Ashfield,-33.89194485,151.0477059
Strathfield - Burwood - Ashfield,-33.89194485,151.0477059
Strathfield - Burwood - Ashfield,-33.89194485,151.0477059
Strathfield - Burwood - Ashfield,-33.89194485,151.0477059
Strathfield - Burwood - Ashfield,-33.89194485,151.0477059
Strathfield - Burwood - Ashfield,-33.89194485,151.0477059
Chatswood - Lane Cove,-33.812636,151.214797
Chatswood - Lane Cove,-33.812636,151.214797
Chatswood - Lane Cove,-33.812636,151.214797
Chatswood - Lane Cove,-33.812636,151.214797
Chatswood - Lane Cove,-33.812636,151.214797
Chatswood - Lane Cove,-33.812636,151.214797
Hornsby,-33.707684,151.099812
Hornsby,-33.707684,151.099812
